DATETIME,DATE,TIME,ALUM,CL2,CW_CLR,CW_NTU,CW_PH,CW_WELL_LEVEL,FILT_NTU,F_RIDE,REMARKS,RIVERLEVEL,RW_CLR,RW_FLOW,RW_NTU,RW_PH,RW_PUMP_DUTY,T18ML_FLOW,T18ML_LEVEL,TW_FLOW,TW_PUMP_DUTY
2025-01-01 01:00:00,2025-01-01,01:00,0.04,1.5,5.0,0.12,7.3,3.81,0.05,0.01,,5.4,680.0,48.6,67.0,7.0,1.0,,,41.9,24.0
2025-01-01 03:00:00,2025-01-01,03:00,0.04,1.5,5.0,0.12,7.3,3.81,0.05,0.01,,5.35,680.0,48.6,67.0,7.0,1.0,,,41.9,24.0
2025-01-01 05:00:00,2025-01-01,05:00,0.04,1.6,5.0,0.12,7.3,3.82,0.05,0.01,,5.27,690.0,48.5,72.0,7.0,1.0,,,40.1,24.0
2025-01-01 07:00:00,2025-01-01,07:00,0.04,1.5,5.0,0.12,7.3,3.82,0.04,0.01,,6.22,850.0,45.3,125.0,7.0,2.0,,,42.6,24.0
2025-01-01 09:00:00,2025-01-01,09:00,0.04,1.5,5.0,0.12,7.3,3.81,0.05,0.01,,6.34,830.0,45.2,120.0,7.0,2.0,,,42.6,24.0
2025-01-01 11:00:00,2025-01-01,11:00,0.04,1.6,5.0,0.12,7.3,3.81,0.05,0.01,"B/W No.4,6",6.17,780.0,44.9,82.0,7.0,2.0,,,42.7,24.0
2025-01-01 13:00:00,2025-01-01,13:00,0.04,1.6,5.0,0.11,7.3,3.58,0.05,0.01,,5.99,720.0,44.9,62.0,7.0,2.0,,,42.3,24.0
2025-01-01 15:00:00,2025-01-01,15:00,0.04,1.6,5.0,0.11,7.3,3.58,0.05,0.01,,5.83,641.0,44.5,56.0,7.0,2.0,,,42.5,24.0
2025-01-01 17:00:00,2025-01-01,17:00,0.04,1.6,5.0,0.11,7.3,3.71,0.06,0.01,,5.57,694.0,44.5,75.0,7.0,1.0,,,42.4,24.0
2025-01-01 19:00:00,2025-01-01,19:00,0.04,1.5,5.0,0.11,7.3,3.66,0.05,0.01,,5.45,1117.0,44.2,102.0,7.0,1.0,,,42.6,24.0
