时间(s),温度(°C)
0.0,30.0054
0.5,30.5088
1.0,31.0400
1.5,31.5988
2.0,32.1856
2.5,32.8003
3.0,33.4429
3.5,34.1133
4.0,34.8117
4.5,35.5376
5.0,36.2909
5.5,37.0710
6.0,37.8771
6.5,38.7082
7.0,39.5631
7.5,40.4403
8.0,41.3384
8.5,42.2556
9.0,43.1902
9.5,44.1405
10.0,45.1048
10.5,46.0814
11.0,47.0688
11.5,48.0654
12.0,49.0697
12.5,50.0804
13.0,51.0963
13.5,52.1160
14.0,53.1386
14.5,54.1629
15.0,55.1882
15.5,56.2133
16.0,57.2377
16.5,58.2606
17.0,59.2812
17.5,60.2991
18.0,61.3136
18.5,62.3242
19.0,63.3306
19.5,64.3322
20.0,65.3288
20.5,66.3200
21.0,67.3054
21.5,68.2849
22.0,69.2583
22.5,70.2252
23.0,71.1855
23.5,72.1390
24.0,73.0857
24.5,74.0253
25.0,74.9578
25.5,75.8830
26.0,76.8010
26.5,77.7116
27.0,78.6148
27.5,79.5106
28.0,80.3988
28.5,81.2795
29.0,82.1527
29.5,83.0184
30.0,83.8765
30.5,84.7271
31.0,85.5702
31.5,86.4058
32.0,87.2339
32.5,88.0546
33.0,88.8678
33.5,89.6736
34.0,90.4720
34.5,91.2631
35.0,92.0470
35.5,92.8236
36.0,93.5930
36.5,94.3552
37.0,95.1104
37.5,95.8584
38.0,96.5995
38.5,97.3336
39.0,98.0608
39.5,98.7812
40.0,99.4947
40.5,100.2015
41.0,100.9016
41.5,101.5951
42.0,102.2820
42.5,102.9624
43.0,103.6363
43.5,104.3038
44.0,104.9649
44.5,105.6197
45.0,106.2683
45.5,106.9106
46.0,107.5469
46.5,108.1770
47.0,108.8011
47.5,109.4192
48.0,110.0315
48.5,110.6378
49.0,111.2384
49.5,111.8331
50.0,112.4222
50.5,113.0056
51.0,113.5834
51.5,114.1557
52.0,114.7225
52.5,115.2838
53.0,115.8398
53.5,116.3903
54.0,116.9356
54.5,117.4757
55.0,118.0106
55.5,118.5403
56.0,119.0649
56.5,119.5845
57.0,120.0991
57.5,120.6087
58.0,121.1134
58.5,121.6133
59.0,122.1083
59.5,122.5986
60.0,123.0842
60.5,123.5651
61.0,124.0414
61.5,124.5130
62.0,124.9802
62.5,125.4428
63.0,125.9010
63.5,126.3548
64.0,126.8042
64.5,127.2493
65.0,127.6901
65.5,128.1266
66.0,128.5589
66.5,128.9871
67.0,129.4112
67.5,129.8311
68.0,130.2471
68.5,130.6590
69.0,131.0669
69.5,131.4709
70.0,131.8711
70.5,132.2673
