文物编号,纹饰_编码,类型_编码,颜色_编码,风化_编码
1,2,0,6,0
2,0,1,1,1
3,0,0,6,0
4,0,0,6,0
5,0,0,6,0
6,0,0,6,0
7,1,0,6,1
8,2,1,4,1
9,1,0,6,1
10,1,0,6,1
11,2,1,1,1
12,1,0,6,1
13,2,0,1,0
14,2,0,2,0
15,2,0,1,0
16,2,0,1,0
17,2,0,1,0
18,0,0,3,0
19,0,1,1,1
20,0,1,1,0
21,0,0,6,0
22,1,0,6,1
23,0,1,6,1
24,2,1,4,0
25,2,1,1,1
26,2,1,4,1
27,1,0,6,1
28,0,1,1,1
29,0,1,1,1
30,0,1,3,0
31,2,1,4,0
32,2,1,0,0
33,2,1,2,0
34,2,1,2,1
35,2,1,0,0
36,2,1,2,1
37,2,1,2,0
38,2,1,2,1
39,2,1,2,1
40,2,1,1,1
41,2,1,0,1
42,0,1,1,1
43,2,1,1,1
44,0,1,1,1
45,0,1,1,0
46,0,1,1,0
47,0,1,1,0
48,0,1,1,1
49,0,1,7,1
50,0,1,7,1
51,2,1,1,1
52,2,1,1,1
53,0,1,1,1
54,2,1,1,1
55,2,1,5,0
56,2,1,6,1
57,2,1,6,1
58,2,1,1,1
