ARTIFACT_NUM,TYPE_num,WEAT_num,SiO2,Na2O,K2O,CaO,MgO,Al2O3,Fe2O3,CuO,PbO,BaO,P2O5,SrO,SnO2,SO2
1,0,0,5.11653452432612,-3.72700100077722,3.17924140403218,2.72137601953048,0.73839474403821,2.24629623725289,1.43154192459816,2.23091131841341,-3.72700100077722,-3.72700100077722,1.03466056018138,-3.72700100077722,-3.72700100077722,-0.063951728486727
2,1,1,4.25362725414803,-3.94240903640476,0.711150793070528,1.51251155827071,0.827875067378669,2.40807615962774,1.28293711662621,-0.684713019065514,4.52161556879059,-3.94240903640476,1.93492622469264,-0.998370577920555,-3.94240903640476,-3.94240903640476
3,0,0,6.32855600131558,-2.74239660577232,3.50880703227918,2.56020805717236,-2.74239660577232,3.26325630871502,-2.74239660577232,1.61361197580288,0.475778973981489,-2.74239660577232,1.44655789113971,-2.74239660577232,-2.74239660577232,-2.74239660577232
3,0,0,4.29854456097572,-4.42876817325259,2.69137275504714,1.94595320248275,0.280458583966986,1.88084666088117,0.946206790338816,1.80337639920517,0.51968827303282,1.2269201934745,-0.18057637529599,-2.1264865243513,-4.42876817325259,-4.42876817325259
4,0,0,5.04866384332223,-3.74382060444816,3.12985724747799,2.82373666343667,1.30551475927424,2.72335747812905,1.58353492081428,1.64015381481379,-3.74382060444816,-3.74382060444816,0.62510660449172,-3.74382060444816,-3.74382060444816,-0.160822309519192
5,0,0,4.74941624706553,-3.97567653068234,3.02241856083168,2.62377941779392,1.20005865115491,2.64398212511144,1.59225342234218,1.81386908947833,-3.97567653068234,-3.97567653068234,0.567203700851085,-2.18433161219086,-3.97567653068234,-0.12594347970886
6,0,0,4.88474046215804,-3.93437262950302,2.66781081374248,-3.93437262950302,1.35348995224768,3.08183260544737,1.54168647348466,1.59067586068493,-0.939044804892861,0.992476606710352,2.1007043540779,-1.53688180564848,-3.93437262950302,-3.93437262950302
6,0,0,4.2525730771846,-4.44346641294642,2.20001975328772,1.84964929898653,0.709521614637826,2.46897284063322,1.95980421807486,0.940725082929136,-0.88842191837054,0.130940998643429,1.66547760290441,-1.95886333007195,-4.44346641294642,-4.44346641294642
7,0,1,6.86048812975306,-2.27249239017831,-2.27249239017831,2.39953371496094,-2.27249239017831,3.01497191119357,0.559918224555247,3.50744839629136,-2.27249239017831,-2.27249239017831,1.83757874467234,-2.27249239017831,-2.27249239017831,-2.27249239017831
8,1,1,3.64298580211812,-3.96439124404434,-3.96439124404434,1.03232000260373,-3.96439124404434,0.932947528790522,-3.96439124404434,2.98304479745458,3.99647793055912,4.08165708612269,1.91843011732789,-0.353974358516165,-3.96439124404434,1.58806731376123
8,1,1,2.10587635343017,-4.02701260234884,-4.02701260234884,1.73766941321837,-4.02701260234884,0.682008511745856,-4.02701260234884,1.72187129634178,4.05734893957171,3.99930188665115,2.60051968661305,-0.0572297760143565,-4.02701260234884,3.2876967001865
9,0,1,6.7081037650186,-2.45045195677065,1.62638362717745,1.67598056831682,-2.45045195677065,2.4316481058581,1.01458208607146,2.59227130019098,-2.45045195677065,-2.45045195677065,1.10419424476114,-2.45045195677065,-2.45045195677065,-2.45045195677065
10,0,1,7.11796468091891,-2.05874068967731,2.46224604308701,0.984979903761396,-2.05874068967731,2.33490662071041,1.19855400405945,2.37127426488129,-2.05874068967731,-2.05874068967731,-2.05874068967731,-2.05874068967731,-2.05874068967731,-2.05874068967731
11,1,1,3.92901607439544,-4.18996309610617,-1.14586007749343,1.67040370824901,0.0722973618244576,1.40432886438498,-4.18996309610617,2.01012665882583,3.64914306648782,3.09649389653384,2.65336743378937,-0.579464602572633,-4.18996309610617,-4.18996309610617
12,0,1,6.70774868406077,-2.44309337116946,2.17132387543635,1.83286947761115,-2.44309337116946,2.53980998030343,0.923499188581566,2.66214883249567,-2.44309337116946,-2.44309337116946,0.264253559697302,-2.44309337116946,-2.44309337116946,-2.44309337116946
13,0,0,5.01617586749397,1.98929057125665,3.46659471533286,3.10179197208543,-3.66608968108935,2.75654572397032,1.99625924057274,2.49239414892873,-3.66608968108935,-3.66608968108935,1.17748584689539,-3.66608968108935,-3.66608968108935,-3.66608968108935
